Month,Date,Vilage,Experimental or control,Treatment?,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,CDC suplementary catch male,CDC suplementary catch female,tot f,tot m,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,Sample ELISA,ELISA positive,,,,,,
4,1,Krekrelo,Exp.,NO,CDC,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,6,0,5,1,4,6,0,,,,,,
4,2,Sirakele,Exp.,NO,CDC,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,3,0,3,0,3,3,0,,,,,,
4,3,Trekrou,Exp.,NO,CDC,5,2,0,1,3,1,0,5,1,6,0,0,0,0,0,0,0,0,0,0,ND,ND,24,0,17,6,11,24,0,,,,,,
4,4,Farabale,Exp.,NO,CDC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,2,1,1,2,0,,,,,,
4,5,Kignele,Exp.,NO,CDC,3,1,0,5,1,1,5,1,5,3,0,1,0,0,0,0,1,0,0,0,ND,ND,25,2,20,4,16,24,0,,,,,,
4,6,Tiko,Exp.,NO,CDC,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,3,1,2,4,0,,,,,,
4,7,Sambadani,Exp.,NO,CDC,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,1,0,1,2,0,67,2,51,13,65,0
4,1,Balandougou,Con.,NO,CDC,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,ND,ND,6,0,4,1,3,6,0,,,,,,
4,2,Madina,Con.,NO,CDC,1,3,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,ND,ND,10,0,7,2,5,10,0,,,,,,
4,3,Korea,Con.,NO,CDC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,0,0,0,1,0,,,,,,
4,4,Balala,Con.,NO,CDC,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,4,1,3,5,0,,,,,,
4,5,Cissebougou,Con.,NO,CDC,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,4,0,4,2,2,4,0,,,,,,
4,6,Nianguanabougou,Con.,NO,CDC,2,1,0,0,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,ND,ND,12,0,10,2,8,12,0,,,,,,
4,7,Trekrouba,Con.,NO,CDC,3,0,4,1,3,0,4,7,1,2,0,0,0,0,0,0,0,0,0,0,ND,ND,25,0,19,6,13,25,0,63,0,48,14,63,0
5,2,Krekrelo,Exp.,NO,CDC,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,4,1,3,5,0,,,,,,
5,3,Sirakele,Exp.,NO,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,0,0,0,0,0,0,0,,,,,,
5,5,Trekrou,Exp.,NO,CDC,0,0,2,3,1,0,2,4,3,0,0,1,0,2,0,1,0,0,1,0,ND,ND,15,5,12,2,10,15,0,,,,,,
5,7,Farabale,Exp.,NO,CDC,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,3,0,2,1,1,3,0,,,,,,
5,6,Kignele,Exp.,NO,CDC,1,5,1,0,4,2,0,1,3,0,2,1,0,2,1,0,0,1,2,0,ND,ND,17,9,15,4,11,17,0,,,,,,
5,4,Tiko,Exp.,NO,CDC,2,0,0,1,0,0,3,1,0,1,0,1,0,0,0,0,1,0,0,0,ND,ND,8,2,5,1,4,8,0,,,,,,
5,4,Sambadani,Exp.,NO,CDC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,0,0,0,0,0,49,16,38,9,48,0
5,2,Balandougou,Con.,NO,CDC,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,3,1,2,5,0,,,,,,
5,3,Madina,Con.,NO,CDC,0,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,7,0,5,2,3,6,0,,,,,,
5,5,Korea,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,0,0,0,0,0,0,0,,,,,,
5,7,Balala,Con.,NO,CDC,1,0,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,10,0,7,1,6,9,0,,,,,,
5,6,Cissebougou,Con.,NO,CDC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,1,0,1,1,0,,,,,,
5,4,Nianguanabougou,Con.,NO,CDC,3,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,ND,ND,11,0,7,3,4,10,0,,,,,,
5,4,Trekrouba,Con.,NO,CDC,4,2,4,0,3,2,2,0,1,3,0,0,0,0,1,1,0,0,0,0,ND,ND,21,2,13,0,13,20,0,55,2,36,7,51,0
6,6,Krekrelo,Exp.,ATSB,CDC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,3,0,,,,,,
6,5,Sirakele,Exp.,ATSB,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,4,Trekrou,Exp.,ATSB,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,,,,,
6,4,Farabale,Exp.,ATSB,CDC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,,,,,,
6,7,Kignele,Exp.,ATSB,CDC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,,,,,,
6,8,Tiko,Exp.,ATSB,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,,,,,
6,8,Sambadani,Exp.,ATSB,CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,7,0
6,6,Balandougou,Con.,NO,CDC,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,2,0,2,2,0,,,,,,
6,5,Madina,Con.,NO,CDC,1,0,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,10,0,10,2,8,10,0,,,,,,
