Month,Date,Vilage,Experimental or control,Treatment?,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,CDC suplementary catch male,CDC suplementary catch female,tot f,tot m,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,Sample ELISA,ELISA positive,Remarcs,,,,,,
4,1,Krekrelo,Exp.,NO,Malaise,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,4,0,3,2,1,3,0,,,,,,,
4,2,Sirakele,Exp.,NO,Malaise,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,2,0,2,2,0,,,,,,,
4,3,Trekrou,Exp.,NO,Malaise,0,1,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,ND,ND,9,0,8,1,7,8,0,,,,,,,
4,4,Farabale,Exp.,NO,Malaise,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,6,0,5,2,3,5,0,,,,,,,
4,5,Kignele,Exp.,NO,Malaise,9,1,4,7,0,8,0,1,5,1,0,0,0,0,0,0,0,0,0,0,ND,ND,36,0,34,4,30,34,0,,,,,,,
4,6,Tiko,Exp.,NO,Malaise,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,2,2,0,2,0,,,,,,,
4,7,Sambadani,Exp.,NO,Malaise,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,1,0,1,1,0,,60,0,55,11,55,0
4,1,Balandougou,Con.,NO,Malaise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,1,0,1,1,0,,,,,,,
4,2,Madina,Con.,NO,Malaise,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,3,0,3,1,2,3,0,,,,,,,
4,3,Korea,Con.,NO,Malaise,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,6,0,5,2,3,6,0,,,,,,,
4,4,Balala,Con.,NO,Malaise,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,1,0,1,2,0,,,,,,,
4,5,Cissebougou,Con.,NO,Malaise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,1,0,1,1,0,1,0,,,,,,,
4,6,Nianguanabougou,Con.,NO,Malaise,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,ND,ND,4,0,3,2,1,4,0,,,,,,,
4,7,Trekrouba,Con.,NO,Malaise,1,3,0,5,1,4,6,1,9,10,0,0,0,0,0,0,0,0,0,0,ND,ND,40,0,31,2,29,36,0,,57,0,45,8,53,0
5,2,Krekrelo,Exp.,NO,Malaise,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,ND,ND,7,0,6,2,4,4,0,,,,,,,
5,3,Sirakele,Exp.,NO,Malaise,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,3,0,2,0,2,3,0,,,,,,,
5,5,Trekrou,Exp.,NO,Malaise,2,0,3,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,ND,ND,11,1,10,2,8,11,0,,,,,,,
5,7,Farabale,Exp.,NO,Malaise,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,4,2,2,5,0,,,,,,,
5,6,Kignele,Exp.,NO,Malaise,5,2,1,4,0,3,1,7,1,1,0,0,1,0,0,0,2,0,1,1,ND,ND,25,5,21,2,19,25,0,,,,,,,
5,4,Tiko,Exp.,NO,Malaise,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ND,ND,3,0,2,2,0,3,0,,,,,,,
5,4,Sambadani,Exp.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,0,0,0,0,0,0,0,,54,6,45,10,51,0
5,2,Balandougou,Con.,NO,Malaise,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,2,0,2,2,0,,,,,,,
5,3,Madina,Con.,NO,Malaise,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,5,1,4,5,0,,,,,,,
5,5,Korea,Con.,NO,Malaise,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,2,0,1,1,0,2,0,,,,,,,
5,7,Balala,Con.,NO,Malaise,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,5,2,3,5,0,,,,,,,
5,6,Cissebougou,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,0,0,0,0,0,0,0,,,,,,,
5,4,Nianguanabougou,Con.,NO,Malaise,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,5,0,4,2,2,5,0,,,,,,,
5,4,Trekrouba,Con.,NO,Malaise,3,0,1,2,0,3,0,2,1,0,0,0,0,0,0,0,0,0,2,0,ND,ND,12,2,10,1,9,12,0,,31,2,27,7,31,0
6,6,Krekrelo,Exp.,ATSB,Malaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,see supplementary catch collected following day.,,,,,,
6,5,Sirakele,Exp.,ATSB,Malaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,see supplementary catch collected following day.,,,,,,
