Month,Date,Vilage,Experimental or control,Treatment?,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,CDC suplementary catch male,CDC suplementary catch female,tot f,tot m,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,Sample ELISA,ELISA positive,Remarcs,,,,,,
4,6,Krekrelo,Exp.,NO,PSC,2,1,0,0,0,1,5,1,0,3,1,0,0,0,0,0,0,0,0,0,,,13,1,5,2,3,10,0,,,,,,,
4,7,Sirakele,Exp.,NO,PSC,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,,,5,0,5,1,4,5,0,,,,,,,
4,8,Trekrou,Exp.,NO,PSC,9,2,33,1,5,24,7,0,3,0,0,0,0,0,0,0,0,0,0,0,,,84,0,10,5,5,20,0,,,,,,,
4,9,Farabale,Exp.,NO,PSC,4,1,0,0,0,1,3,0,1,5,0,0,0,0,0,0,0,0,0,0,,,15,0,5,1,4,10,0,,,,,,,
4,10,Kignele,Exp.,NO,PSC,9,31,19,5,9,25,3,14,10,35,0,5,3,0,0,3,0,0,0,4,,,160,15,15,4,11,30,0,,,,,,,
4,11,Tiko,Exp.,NO,PSC,7,1,5,8,18,4,15,8,1,12,0,0,0,0,3,0,0,0,0,0,,,79,3,10,4,6,20,0,,,,,,,
4,12,Sambadani,Exp.,NO,PSC,2,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,9,0,5,0,5,5,0,,365,19,55,17,100,0
4,6,Balandougou,Con.,NO,PSC,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,5,2,3,5,0,,,,,,,
4,7,Madina,Con.,NO,PSC,3,0,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,,,10,2,5,3,2,10,0,,,,,,,
4,8,Korea,Con.,NO,PSC,1,7,1,3,0,0,2,1,0,1,0,2,0,1,0,0,0,0,0,0,,,16,3,10,2,8,15,0,,,,,,,
4,9,Balala,Con.,NO,PSC,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,3,1,2,4,0,,,,,,,
4,10,Cissebougou,Con.,NO,PSC,1,0,0,0,3,2,1,0,0,4,0,0,0,0,0,0,0,0,0,2,,,11,2,8,5,3,11,0,,,,,,,
4,11,Nianguanabougou,Con.,NO,PSC,0,0,3,13,0,2,0,2,6,2,0,0,0,4,0,0,0,0,1,0,,,28,5,15,4,11,20,0,,,,,,,
4,12,Trekrouba,Con.,NO,PSC,8,10,32,11,23,5,3,14,5,19,0,0,8,0,3,0,0,2,0,1,,,130,14,20,6,14,35,0,,204,26,66,23,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,Krekrelo,Exp.,NO,PSC,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,,7,0,5,1,4,5,0,,,,,,,
5,11,Sirakele,Exp.,NO,PSC,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,,,8,0,5,2,3,5,0,,,,,,,
5,7,Trekrou,Exp.,NO,PSC,17,3,26,2,9,21,0,0,0,13,0,0,5,0,0,1,0,0,0,0,,,91,6,20,5,15,20,0,,,,,,,
5,10,Farabale,Exp.,NO,PSC,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,,,10,0,5,3,2,10,0,,,,,,,
5,13,Kignele,Exp.,NO,PSC,5,32,13,6,5,9,2,10,1,27,0,3,0,0,0,0,0,0,0,2,,,110,5,20,6,14,30,0,,,,,,,
5,14,Tiko,Exp.,NO,PSC,0,0,0,3,16,1,9,5,5,7,0,0,0,0,1,0,0,0,0,0,,,46,1,10,3,7,20,0,,,,,,,
5,12,Sambadani,Exp.,NO,PSC,5,0,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,17,0,10,5,5,10,0,,289,12,75,25,100,0
5,9,Balandougou,Con.,NO,PSC,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,2,1,1,3,0,,,,,,,
5,11,Madina,Con.,NO,PSC,4,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,7,1,5,3,2,7,0,,,,,,,
5,12,Korea,Con.,NO,PSC,0,7,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,13,0,10,3,7,13,0,,,,,,,
5,10,Balala,Con.,NO,PSC,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,4,0,2,1,1,4,0,,,,,,,
5,13,Cissebougou,Con.,NO,PSC,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,3,0,2,0,2,3,0,,,,,,,
5,14,Nianguanabougou,Con.,NO,PSC,0,1,5,12,0,3,0,0,14,0,0,0,0,1,0,0,0,0,0,0,,,35,1,15,5,10,30,0,,,,,,,
5,7,Trekrouba,Con.,NO,PSC,5,3,30,8,16,3,2,15,4,24,0,0,3,0,2,0,0,0,0,0,,,110,5,20,2,18,40,0,,175,7,56,15,100,0
6,14,Krekrelo,Exp.,ATSB,PSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,,,,,
6,15,Sirakele,Exp.,ATSB,PSC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,1,1,0,,,,,,,
6,11,Trekrou,Exp.,ATSB,PSC,2,0,5,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,13,0,8,0,8,8,0,,,,,,,
6,10,Farabale,Exp.,ATSB,PSC,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,2,0,,,,,,,
6,9,Kignele,Exp.,ATSB,PSC,0,4,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,,,8,2,6,0,6,6,0,,,,,,,
6,13,Tiko,Exp.,ATSB,PSC,0,0,0,0,4,0,3,1,0,2,0,0,0,0,1,0,0,0,0,0,,,10,1,7,1,6,6,0,,,,,,,
6,12,Sambadani,Exp.,ATSB,PSC,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,3,1,1,0,1,2,0,,37,4,23,1,25,0
6,14,Balandougou,Con.,NO,PSC,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,4,1,2,1,1,4,0,,,,,,,
6,15,Madina,Con.,NO,PSC,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,3,0,2,0,2,3,0,,,,,,,
6,12,Korea,Con.,NO,PSC,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,3,1,2,3,0,,,,,,,
6,10,Balala,Con.,NO,PSC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,2,1,1,2,1,,,,,,,
6,9,Cissebougou,Con.,NO,PSC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,1,1,0,,,,,,,
6,13,Nianguanabougou,Con.,NO,PSC,0,0,4,3,14,0,7,3,1,11,0,0,0,1,0,0,0,0,0,0,,,43,1,30,6,24,37,1,,,,,,,
6,11,Trekrouba,Con.,NO,PSC,5,0,29,0,15,2,8,9,3,0,0,0,4,0,3,0,0,1,0,0,,,71,8,60,2,58,50,0,,129,10,100,11,100,2
7,11,Krekrelo,Exp.,ATSB,PSC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,,,2,3,0,0,0,2,0,,,,,,,
7,8,Sirakele,Exp.,ATSB,PSC,0,1,0,3,0,0,5,0,1,0,0,0,0,3,0,0,1,0,0,0,,,10,4,5,0,5,10,0,,,,,,,
7,9,Trekrou,Exp.,ATSB,PSC,3,0,14,8,0,15,0,0,0,0,12,0,9,0,2,8,0,0,0,0,,,40,31,20,0,20,20,0,,,,,,,
7,12,Farabale,Exp.,ATSB,PSC,9,2,0,0,0,0,3,1,0,6,5,0,0,0,0,0,2,0,2,0,,,21,9,15,1,14,18,0,,,,,,,
7,14,Kignele,Exp.,ATSB,PSC,1,10,6,0,1,6,0,5,0,5,0,7,3,0,0,1,0,0,0,0,,,34,11,15,0,15,15,0,,,,,,,
7,13,Tiko,Exp.,ATSB,PSC,2,0,0,3,20,0,13,8,1,5,0,0,0,0,9,0,5,5,0,2,,,52,21,25,0,25,20,0,,,,,,,
7,10,Sambadani,Exp.,ATSB,PSC,11,0,7,5,0,0,3,1,4,0,5,0,3,3,0,0,0,1,2,0,,,31,14,20,0,20,15,0,,190,93,100,1,100,0
7,11,Balandougou,Con.,NO,PSC,2,6,0,4,0,14,5,8,0,2,0,2,0,0,0,5,0,5,4,0,,,41,16,20,1,19,30,1,,,,,,,
7,8,Madina,Con.,NO,PSC,10,3,6,0,8,1,0,0,5,15,6,0,2,0,0,0,0,0,0,2,,,48,10,20,2,18,30,1,,,,,,,
7,10,Korea,Con.,NO,PSC,0,7,0,3,0,0,2,0,0,3,0,2,0,1,0,0,0,0,0,0,,,15,3,8,2,6,10,1,,,,,,,
7,12,Balala,Con.,NO,PSC,3,8,0,13,9,17,0,34,0,0,0,3,0,4,0,15,0,11,2,0,,,84,35,30,0,30,34,0,,,,,,,
7,14,Cissebougou,Con.,NO,PSC,7,0,0,1,19,5,4,1,0,34,2,0,0,0,9,0,0,0,0,9,,,71,20,30,3,27,30,1,,,,,,,
7,13,Nianguanabougou,Con.,NO,PSC,2,4,12,42,0,11,0,10,31,8,0,0,4,25,0,6,0,0,17,1,,,120,53,30,2,28,30,1,,,,,,,
7,9,Trekrouba,Con.,NO,PSC,5,7,28,19,51,0,1,23,4,12,0,1,19,2,28,0,0,12,1,7,,,150,70,13,0,13,30,1,,529,207,151,10,194,6
8,13,Krekrelo,Exp.,ATSB,PSC,2,0,1,1,5,1,6,0,1,2,5,0,0,0,3,0,4,0,2,1,,,19,15,15,1,14,15,0,,,,,,,
8,7,Sirakele,Exp.,ATSB,PSC,3,1,2,9,2,4,15,3,5,3,2,4,0,3,0,0,5,0,2,4,,,47,20,25,2,23,25,1,,,,,,,
8,9,Trekrou,Exp.,ATSB,PSC,12,4,41,9,5,17,3,1,0,20,5,0,9,2,4,3,5,0,2,12,,,112,42,40,0,40,40,0,,,,,,,
8,10,Farabale,Exp.,ATSB,PSC,14,8,3,2,1,4,8,0,6,35,5,7,0,0,2,1,6,2,3,7,,,81,33,30,2,28,30,0,,,,,,,
8,8,Kignele,Exp.,ATSB,PSC,4,23,14,3,5,11,2,4,1,40,4,9,3,5,1,4,3,0,2,19,,,107,50,40,0,40,40,0,,,,,,,
8,10,Tiko,Exp.,ATSB,PSC,2,1,4,0,27,2,16,6,3,11,3,0,4,1,7,0,5,1,3,10,,,72,34,30,0,30,30,0,,,,,,,
8,12,Sambadani,Exp.,ATSB,PSC,20,3,11,5,1,0,3,2,7,13,11,0,5,7,0,2,10,0,2,9,,,65,46,30,1,29,30,0,,503,240,210,6,210,1
8,13,Balandougou,Con.,NO,PSC,3,5,2,0,1,19,4,14,9,0,3,1,4,0,0,10,1,8,2,5,,,57,34,30,2,28,30,0,,,,,,,
8,7,Madina,Con.,NO,PSC,20,3,7,2,9,3,8,5,15,26,7,1,5,0,3,7,2,6,3,11,,,98,45,30,6,24,30,2,,,,,,,
8,12,Korea,Con.,NO,PSC,3,9,11,2,2,0,3,1,1,3,0,2,3,5,0,1,2,0,0,1,,,35,14,30,4,26,30,1,,,,,,,
8,10,Balala,Con.,NO,PSC,2,2,10,8,4,17,20,5,7,4,3,5,0,6,1,9,0,12,3,5,,,79,44,30,4,26,30,2,,,,,,,
8,8,Cissebougou,Con.,NO,PSC,8,3,2,9,41,22,9,6,5,30,5,0,3,4,19,12,5,3,6,27,,,135,84,30,3,27,30,0,,,,,,,
8,10,Nianguanabougou,Con.,NO,PSC,2,8,13,48,5,19,10,38,4,9,0,7,8,25,2,7,3,0,31,16,,,156,99,30,5,25,30,2,,,,,,,
8,9,Trekrouba,Con.,NO,PSC,19,14,67,23,18,46,7,29,26,5,6,3,50,11,23,5,1,20,3,38,,,254,160,30,1,29,30,0,,814,480,210,25,210,7
9,9,Krekrelo,Exp.,ATSB,PSC,6,2,3,1,8,2,9,0,2,7,2,0,1,0,5,0,3,1,0,9,,,40,21,30,0,30,30,0,,,,,,,
9,10,Sirakele,Exp.,ATSB,PSC,4,7,1,3,15,0,24,4,10,4,0,3,9,0,2,0,8,3,0,0,,,72,25,30,0,30,30,0,,,,,,,
9,15,Trekrou,Exp.,ATSB,PSC,29,5,51,17,8,41,9,3,9,10,9,0,14,0,11,27,5,1,3,3,,,182,73,30,0,30,30,0,,,,,,,
9,12,Farabale,Exp.,ATSB,PSC,23,14,3,1,5,9,16,5,6,18,13,5,0,2,4,3,5,9,5,14,,,100,60,30,1,29,30,0,,,,,,,
9,11,Kignele,Exp.,ATSB,PSC,11,18,24,6,2,8,2,5,3,14,2,10,8,3,0,4,0,5,0,11,,,93,43,30,0,30,30,0,,,,,,,
9,14,Tiko,Exp.,ATSB,PSC,8,3,14,6,34,31,7,16,8,5,3,1,8,1,15,2,4,9,17,8,,,132,68,30,2,28,30,1,,,,,,,
9,13,Sambadani,Exp.,ATSB,PSC,19,3,15,11,3,1,3,2,8,15,12,0,7,9,3,0,1,0,5,14,,,80,51,30,1,29,30,0,,699,341,210,4,210,1
9,9,Balandougou,Con.,NO,PSC,5,11,9,3,1,19,15,3,5,7,1,3,2,0,0,7,0,8,5,5,,,78,31,30,7,23,30,2,,,,,,,
9,10,Madina,Con.,NO,PSC,36,8,10,27,30,6,15,22,43,13,20,11,3,2,7,3,5,4,10,28,,,210,93,30,8,22,30,4,,,,,,,
9,13,Korea,Con.,NO,PSC,9,20,14,4,3,7,16,5,3,9,1,3,12,4,1,7,9,1,1,3,,,90,42,30,3,27,30,1,,,,,,,
9,12,Balala,Con.,NO,PSC,2,10,4,16,22,4,3,0,3,7,0,5,1,7,0,5,2,2,6,0,,,71,28,30,7,23,30,4,,,,,,,
9,11,Cissebougou,Con.,NO,PSC,23,6,2,7,40,19,27,8,20,34,15,1,0,9,17,8,23,2,17,24,,,186,116,30,2,28,30,0,,,,,,,
9,14,Nianguanabougou,Con.,NO,PSC,5,33,51,38,11,27,15,18,67,30,1,9,23,15,2,9,5,10,41,21,,,295,136,30,5,25,30,2,,,,,,,
9,15,Trekrouba,Con.,NO,PSC,15,29,73,40,92,18,5,75,50,35,2,11,52,25,45,5,2,21,13,8,ND,ND,432,184,30,2,28,30,1,,1362,630,210,34,210,14
10,10,Krekrelo,Exp.,ATSB,PSC,2,1,2,0,3,1,10,0,2,7,1,0,0,1,0,0,1,0,0,2,ND,ND,28,5,20,0,20,28,0,,,,,,,
10,9,Sirakele,Exp.,ATSB,PSC,1,2,0,4,1,0,5,0,3,2,0,0,1,2,0,0,0,0,0,1,ND,ND,18,4,15,0,15,18,0,,,,,,,
10,8,Trekrou,Exp.,ATSB,PSC,4,2,1,9,4,11,3,0,5,1,1,0,1,5,0,2,0,4,1,0,ND,ND,40,14,30,0,30,40,0,,,,,,,
10,13,Farabale,Exp.,ATSB,PSC,3,2,1,0,2,1,3,1,0,4,3,0,1,0,0,1,0,0,1,0,ND,ND,17,6,15,1,14,17,1,,,,,,,
10,14,Kignele,Exp.,ATSB,PSC,5,15,13,2,7,11,0,3,0,9,1,3,11,0,0,0,4,0,3,2,ND,ND,65,24,40,0,40,57,0,,,,,,,
10,12,Tiko,Exp.,ATSB,PSC,2,0,4,1,2,10,6,3,1,5,1,0,1,0,3,0,1,1,2,3,ND,ND,34,12,30,1,29,34,0,,,,,,,
10,11,Sambadani,Exp.,ATSB,PSC,5,0,3,2,1,0,1,1,3,0,0,0,1,0,0,0,1,0,2,0,ND,ND,16,4,15,0,15,16,0,,218,69,165,2,210,1
10,10,Balandougou,Con.,NO,PSC,1,9,4,1,0,18,3,14,3,1,0,2,0,0,0,3,0,2,1,0,ND,ND,54,8,20,6,14,30,1,,,,,,,
10,9,Madina,Con.,NO,PSC,16,11,3,6,4,2,1,8,0,21,4,0,2,1,0,0,0,2,0,3,ND,ND,72,12,15,7,8,30,3,,,,,,,
10,11,Korea,Con.,NO,PSC,4,30,9,27,11,4,5,18,7,17,4,6,1,9,2,0,1,1,2,6,ND,ND,132,32,30,4,26,30,0,,,,,,,
10,13,Balala,Con.,NO,PSC,2,5,7,3,2,8,0,15,3,0,0,0,0,2,0,1,0,2,0,0,ND,ND,45,5,15,5,10,30,1,,,,,,,
10,14,Cissebougou,Con.,NO,PSC,9,2,0,9,15,7,5,11,8,24,3,0,1,2,4,5,6,2,17,0,ND,ND,90,40,40,11,29,30,3,,,,,,,
