month,Day,Village,Dedication,Intervention,Trap ,CDC total females day 1,CDC total males day 1,Sample female Anth. Day 1,Sample male Anth. Day 1,females Anth. positive Day 1,males Anth. positive Day 1,,Females anth positive average,,males,,,female sample sizes,male sample sizes,,,,,,,,,,,,,,
12,19,Balandougou,Con.,NO,CDC,34,1,30,1,7,0,,8.14285714285714,dec,0.142857142857143,,,250,1,,,,,,,,,,,,,,
12,17,Madina,Con.,NO,CDC,28,0,25,0,3,0,,6.01189297500023,sd,0.377964473009227,,,,,,,,,,,,,,,,,,
12,23,Korea,Con.,NO,CDC,59,1,50,0,19,0,,2.27228196008384,,0.142857142857143,,,,,,,,,,,,,,,,,,
12,15,Balala,Con.,NO,CDC,31,0,27,0,5,0,,,,,,,,,,,,,,,,,,,,,,
12,21,Cissebougou,Con.,NO,CDC,62,3,50,2,8,0,,,,,,,,,,,,,,,,,,,,,,
12,13,Nianguanabougou,Con.,NO,CDC,20,0,18,0,2,0,,,,,,,,,,,,,,,,,,,,,,
12,25,Trekrouba,Con.,NO,CDC,91,6,50,5,13,1,,,,,,,,,,,,,,,,,,,,,,
11,16,Balandougou,Con.,NO,CDC,75,3,30,2,10,0,,13.4285714285714,,2.28571428571429,,,300,16,,,,,,,,,,,,,,
11,24,Madina,Con.,NO,CDC,41,3,30,3,8,1,,4.35343323738644,,2.6903708365382,,,,,,,,,,,,,,,,,,
11,22,Korea,Con.,NO,CDC,110,5,50,4,17,1,,1.64544309934962,,1.01686459543155,,,,,,,,,,,,,,,,,,
11,20,Balala,Con.,NO,CDC,83,9,50,9,19,3,,,,,,,,,,,,,,,,,,,,,,
11,11,Cissebougou,Con.,NO,CDC,96,17,50,5,15,2,,,,,,,,,,,,,,,,,,,,,,
11,14,Nianguanabougou,Con.,NO,CDC,52,4,40,3,9,1,,,,,,,,,,,,,,,,,,,,,,
11,18,Trekrouba,Con.,NO,CDC,173,37,50,34,16,8,,,,,,,,,,,,,,,,,,,,,,
10,14,Balandougou,Con.,NO,CDC,304,38,50,30,21,15,,18.8571428571429,,17.8571428571429,,,350,125,,,,,,,,,,,,,,
10,21,Madina,Con.,NO,CDC,263,73,50,50,14,20,,5.08030745226348,,4.52506248312556,,,,,,,,,,,,,,,,,,
10,23,Korea,Con.,NO,CDC,128,42,50,40,19,13,,1.92017572891962,,1.71031285676838,,,,,,,,,,,,,,,,,,
10,20,Balala,Con.,NO,CDC,519,99,50,50,22,16,,,,,,,,,,,,,,,,,,,,,,
10,15,Cissebougou,Con.,NO,CDC,341,41,50,30,12,14,,,,,,,,,,,,,,,,,,,,,,
10,18,Nianguanabougou,Con.,NO,CDC,433,87,50,50,17,22,,,,,,,,,,,,,,,,,,,,,,
10,16,Trekrouba,Con.,NO,CDC,740,118,50,50,27,25,,,,,,,,,,,,,,,,,,,,,,
9,14,Balandougou,Con.,NO,CDC,334,200,50,50,25,29,,20.5714285714286,,22.5714285714286,,,350,158,,,,,,,,,,,,,,
9,24,Madina,Con.,NO,CDC,473,165,50,50,16,19,,5.99603043290984,,3.86683086679272,,,,,,,,,,,,,,,,,,
9,18,Korea,Con.,NO,CDC,192,63,50,50,24,21,,2.26628648272206,,1.46152469078312,,,,,,,,,,,,,,,,,,
9,16,Balala,Con.,NO,CDC,429,241,50,50,15,20,,,,,,,,,,,,,,,,,,,,,,
9,22,Cissebougou,Con.,NO,CDC,301,92,50,50,30,26,,,,,,,,,,,,,,,,,,,,,,
9,20,Nianguanabougou,Con.,NO,CDC,528,151,50,50,14,19,,,,,,,,,,,,,,,,,,,,,,
9,26,Trekrouba,Con.,NO,CDC,805,313,50,50,20,24,,,,,,,,,,,,,,,,,,,,,,
8,21,Balandougou,Con.,NO,CDC,310,168,50,50,24,19,,22.4285714285714,,20.8571428571429,,,350,146,,,,,,,,,,,,,,
8,18,Madina,Con.,NO,CDC,328,103,50,50,27,23,,4.54082014828242,,3.23669437485075,,,,,,,,,,,,,,,,,,
8,15,Korea,Con.,NO,CDC,203,64,50,50,23,26,,1.71626869437525,,1.22335548368239,,,,,,,,,,,,,,,,,,
8,17,Balala,Con.,NO,CDC,417,157,50,50,15,20,,,,,,,,,,,,,,,,,,,,,,
8,12,Cissebougou,Con.,NO,CDC,280,120,50,50,21,17,,,,,,,,,,,,,,,,,,,,,,
8,14,Nianguanabougou,Con.,NO,CDC,519,83,50,50,19,23,,,,,,,,,,,,,,,,,,,,,,
8,24,Trekrouba,Con.,NO,CDC,994,378,50,50,28,18,,,,,,,,,,,,,,,,,,,,,,
7,15,Balandougou,Con.,NO,CDC,42,59,35,50,12,18,,17.7142857142857,,20,,,312,140,,,,,,,,,,,,,,
7,19,Madina,Con.,NO,CDC,93,53,50,50,31,33,,7.99404540297101,,6.42910050732864,,,,,,,,,,,,,,,,,,
7,21,Korea,Con.,NO,CDC,35,44,27,41,9,17,,3.02146515794577,,2.42997158517582,,,,,,,,,,,,,,,,,,
7,17,Balala,Con.,NO,CDC,68,71,50,50,21,24,,,,,,,,,,,,,,,,,,,,,,
7,10,Cissebougou,Con.,NO,CDC,53,42,50,39,16,15,,,,,,,,,,,,,,,,,,,,,,
7,8,Nianguanabougou,Con.,NO,CDC,117,85,50,50,11,17,,,,,,,,,,,,,,,,,,,,,,
7,12,Trekrouba,Con.,NO,CDC,305,50,50,37,24,16,,,,,,,,,,,,,,,,,,,,,,
6,19,Balandougou,Con.,NO,CDC,4,0,3,0,1,0,,3.42857142857143,,0.285714285714286,,,75,2,,,,,,,,,,,,,,
6,11,Madina,Con.,NO,CDC,17,0,15,0,4,0,,3.15473944286703,,0.755928946018454,,,,,,,,,,,,,,,,,,
6,15,Korea,Con.,NO,CDC,5,0,4,0,2,0,,1.19237943100466,,0.285714285714286,,,,,,,,,,,,,,,,,,
6,21,Balala,Con.,NO,CDC,10,0,8,0,2,0,,,,,,,,,,,,,,,,,,,,,,
6,13,Cissebougou,Con.,NO,CDC,7,0,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,
6,17,Nianguanabougou,Con.,NO,CDC,11,0,10,0,4,0,,,,,,,,,,,,,,,,,,,,,,
6,9,Trekrouba,Con.,NO,CDC,34,8,30,7,10,2,,,,,,,,,,,,,,,,,,,,,,
5,19,Balandougou,Con.,NO,CDC,8,0,7,0,1,0,,1.71428571428571,,0.142857142857143,,,64,1,,,,,,,,,,,,,,
5,17,Madina,Con.,NO,CDC,3,0,2,0,4,0,,2.05866345916355,,0.377964473009227,,,,,,,,,,,,,,,,,,
5,13,Korea,Con.,NO,CDC,7,0,5,0,0,0,,0.778101649446104,,0.142857142857143,,,,,,,,,,,,,,,,,,
5,21,Balala,Con.,NO,CDC,4,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,
5,8,Cissebougou,Con.,NO,CDC,5,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,
5,11,Nianguanabougou,Con.,NO,CDC,16,1,14,0,5,0,,,,,,,,,,,,,,,,,,,,,,
5,15,Trekrouba,Con.,NO,CDC,33,2,29,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,8,Balandougou,Con.,NO,CDC,11,0,8,0,2,0,,2.57142857142857,,0.285714285714286,,,85,2,,,,,,,,,,,,,,
4,10,Madina,Con.,NO,CDC,17,0,14,0,0,0,,2.8784916685157,,0.487950036474267,,,,,,,,,,,,,,,,,,
4,12,Korea,Con.,NO,CDC,8,0,6,0,1,0,,1.08796758655199,,0.18442777839083,,,,,,,,,,,,,,,,,,
4,14,Balala,Con.,NO,CDC,7,0,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,
