month,Day,Village,Dedication,Intervention,Trap ,CDC total females day 2,CDC total males day 2,TOTAL Sample females Day 2,TOTAL Sample males Day 2,Sample female Anth. Day 2,Sample male Anth. Day 2,females Anth. positive Day 2,males Anth. positive Day 2,females ASB positive,males ASB positive,,,,,,,,,,,,,,,,,,,,,,,
12,20,Balandougou,Con.,NO,CDC,25,0,22,0,12,0,2,0,10,0,,250,5,,,,,,,,,,,,,,,,,,,,
12,18,Madina,Con.,NO,CDC,19,0,17,0,10,0,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,
12,24,Korea,Con.,NO,CDC,42,1,40,1,25,1,2,1,15,0,,,,,,,,,,,,,,,,,,,,,,,
12,16,Balala,Con.,NO,CDC,17,0,15,0,4,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,
12,22,Cissebougou,Con.,NO,CDC,73,2,60,1,43,1,4,0,17,0,,,,,,,,,,,,,,,,,,,,,,,
12,14,Nianguanabougou,Con.,NO,CDC,40,0,36,0,23,0,1,0,13,0,,,,,,,,,,,,,,,,,,,,,,,
12,26,Trekrouba,Con.,NO,CDC,69,4,60,3,52,1,3,0,8,2,,,,,,,,,,,,,,,,,,,,,,,
11,17,Balandougou,Con.,NO,CDC,34,2,30,1,19,0,2,0,11,1,,300,60,,,,,,,,,,,,,,,,,,,,
11,25,Madina,Con.,NO,CDC,35,3,30,3,15,2,1,0,15,1,,,,,,,,,,,,,,,,,,,,,,,
11,23,Korea,Con.,NO,CDC,94,4,50,4,30,2,4,0,20,2,,,,,,,,,,,,,,,,,,,,,,,
11,21,Balala,Con.,NO,CDC,62,9,50,8,32,5,2,0,18,3,,,,,,,,,,,,,,,,,,,,,,,
11,12,Cissebougou,Con.,NO,CDC,139,12,50,9,38,6,6,0,12,3,,,,,,,,,,,,,,,,,,,,,,,
11,15,Nianguanabougou,Con.,NO,CDC,71,10,40,10,30,6,3,1,10,4,,,,,,,,,,,,,,,,,,,,,,,
11,19,Trekrouba,Con.,NO,CDC,117,32,50,25,24,16,1,1,26,9,,,,,,,,,,,,,,,,,,,,,,,
10,15,Balandougou,Con.,NO,CDC,252,32,50,30,39,20,8,5,11,10,,350,300,,,,,,,,,,,,,,,,,,,,
10,22,Madina,Con.,NO,CDC,193,65,50,50,35,38,6,10,15,12,,,,,,,,,,,,,,,,,,,,,,,
10,24,Korea,Con.,NO,CDC,165,43,50,40,40,26,11,6,10,14,,,,,,,,,,,,,,,,,,,,,,,
10,21,Balala,Con.,NO,CDC,450,57,50,50,34,35,5,7,16,15,,,,,,,,,,,,,,,,,,,,,,,
10,16,Cissebougou,Con.,NO,CDC,309,35,50,30,27,12,9,2,23,18,,,,,,,,,,,,,,,,,,,,,,,
10,19,Nianguanabougou,Con.,NO,CDC,496,61,50,50,40,38,5,7,10,12,,,,,,,,,,,,,,,,,,,,,,,
10,17,Trekrouba,Con.,NO,CDC,704,82,50,50,29,34,3,5,21,16,,,,,,,,,,,,,,,,,,,,,,,
9,15,Balandougou,Con.,NO,CDC,390,174,50,50,36,40,6,4,14,10,,350,350,,,,,,,,,,,,,,,,,,,,
9,25,Madina,Con.,NO,CDC,541,217,50,50,31,35,3,4,19,15,,,,,,,,,,,,,,,,,,,,,,,
9,19,Korea,Con.,NO,CDC,136,56,50,50,28,31,9,5,22,19,,,,,,,,,,,,,,,,,,,,,,,
9,17,Balala,Con.,NO,CDC,350,279,50,50,37,35,5,7,13,15,,,,,,,,,,,,,,,,,,,,,,,
9,23,Cissebougou,Con.,NO,CDC,362,80,50,50,35,32,4,5,15,18,,,,,,,,,,,,,,,,,,,,,,,
9,21,Nianguanabougou,Con.,NO,CDC,425,120,50,50,39,37,11,7,11,13,,,,,,,,,,,,,,,,,,,,,,,
9,27,Trekrouba,Con.,NO,CDC,688,157,50,50,21,30,9,8,29,20,,350,350,,,,,,,,,,,,,,,,,,,,
8,22,Balandougou,Con.,NO,CDC,442,132,50,50,40,37,13,9,10,13,,,,,,,,,,,,,,,,,,,,,,,
8,19,Madina,Con.,NO,CDC,509,180,50,50,31,35,6,5,19,15,,,,,,,,,,,,,,,,,,,,,,,
8,16,Korea,Con.,NO,CDC,248,91,50,50,29,26,5,5,21,24,,,,,,,,,,,,,,,,,,,,,,,
8,18,Balala,Con.,NO,CDC,625,132,50,50,39,35,14,11,11,15,,,,,,,,,,,,,,,,,,,,,,,
8,13,Cissebougou,Con.,NO,CDC,241,148,50,50,35,38,17,13,15,12,,,,,,,,,,,,,,,,,,,,,,,
8,15,Nianguanabougou,Con.,NO,CDC,472,65,50,50,38,34,7,5,12,16,,,,,,,,,,,,,,,,,,,,,,,
8,25,Trekrouba,Con.,NO,CDC,1102,458,50,50,41,37,14,8,9,13,,,,,,,,,,,,,,,,,,,,,,,
