year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,CDC suplementary catch male,CDC suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,3,12,Madina,inside,Con.,NO,CDC,0,0,0,2,0,0,1,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,4,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,12,Nianguanabougou,inside,Con.,NO,CDC,0,2,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,2,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,13,Tiko,inside,Con.,NO,CDC,0,0,0,0,0,0,2,0,0,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,13,Kignele,inside,Con.,NO,CDC,0,2,0,3,1,14,4,0,2,15,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,41,1,,3,2,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,14,Trekrouba,inside,Con.,NO,CDC,1,0,2,0,0,3,0,2,1,0,,,,0,0,0,1,0,0,0,0,1,0,,,,,,,9,2,,3,2,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,14,Balandougou,inside,Con.,NO,CDC,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,15,Krekrelo,inside,Con.,NO,CDC,0,0,0,1,0,0,1,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,16,Korea,inside,Con.,NO,CDC,0,1,0,0,1,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,16,Farabale,inside,Con.,NO,CDC,0,0,0,1,0,0,0,1,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,2,,,ND,ND,,,,,,,,ND,ND,,,,,,
16,3,17,Cissebougou,inside,Con.,NO,CDC,0,0,2,0,0,1,0,0,2,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,3,3,,,ND,ND,,,,,,,,ND,ND,,,,,,
