year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,CDC suplementary catch male,CDC suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,3,12,Madina,periphery,Con.,NO,CDC,0,2,3,1,0,1,0,2,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,0,,3,2,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,12,Nianguanabougou,periphery,Con.,NO,CDC,1,1,0,0,4,0,0,0,1,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,,3,3,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,13,Tiko,periphery,Con.,NO,CDC,2,1,0,2,0,1,1,0,3,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,5,5,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,13,Kignele,periphery,Con.,NO,CDC,1,3,5,2,7,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,19,0,,5,4,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,14,Trekrouba,periphery,Con.,NO,CDC,0,1,2,0,1,3,4,0,3,0,,,,0,0,0,0,1,0,0,1,0,0,,,,,,,14,2,,5,5,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,14,Balandougou,periphery,Con.,NO,CDC,1,1,0,0,3,0,0,5,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,5,5,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,15,Krekrelo,periphery,Con.,NO,CDC,0,1,2,0,1,1,0,0,4,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,12,0,,5,5,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,16,Korea,periphery,Con.,NO,CDC,1,0,0,2,0,0,1,2,3,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,11,0,,5,5,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,16,Farabale,periphery,Con.,NO,CDC,0,2,5,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,,3,3,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
16,3,17,Cissebougou,periphery,Con.,NO,CDC,0,0,0,0,1,3,0,4,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,0,,5,3,,,ND,ND,ND,,ND,ND,,,,,ND,ND,,,,,,
