year,Month,Date,Vilage,location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,Malaise suplementary catch male,Malaise suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,3,15-19,Madina,inside,Con.,NO,Malaise,1,3,1,0,5,2,1,3,2,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,18,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,15-19,Nianguanabougou,inside,Con.,NO,Malaise,0,2,4,2,3,1,5,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,17,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,17-21,Tiko,inside,Con.,NO,Malaise,1,0,3,2,1,5,0,2,0,1,,,,0,1,0,0,0,0,0,0,0,0,,,,,,,15,1,,2,1,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,17-21,Kignele,inside,Con.,NO,Malaise,3,1,0,5,2,7,3,9,2,2,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,34,1,,2,1,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,19-23,Trekrouba,inside,Con.,NO,Malaise,8,3,5,1,6,3,9,15,2,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,52,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,19-23,Balandougou,inside,Con.,NO,Malaise,2,1,0,3,0,5,0,1,3,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,20-24,Krekrelo,inside,Con.,NO,Malaise,1,0,7,2,0,0,3,0,0,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,16,0,,2,1,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,20-24,Korea,inside,Con.,NO,Malaise,0,2,1,8,2,1,0,4,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,18,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,22--26,Farabale,inside,Con.,NO,Malaise,3,1,5,2,1,0,6,2,1,4,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,25,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,22-26,Cissebougou,inside,Con.,NO,Malaise,1,0,2,2,10,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,16,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,23-27,Trekrou,inside,Con.,NO,Malaise,5,9,1,5,0,0,3,7,8,0,,,,0,1,0,0,0,1,0,0,1,0,,,,,,,38,3,,2,0,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,23-27,Sirakele,inside,Con.,NO,Malaise,1,3,0,2,1,0,7,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,15,0,,2,1,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,24-28,Balala,inside,Con.,NO,Malaise,0,4,2,0,0,4,0,6,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,16,0,,2,2,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
16,3,25-29,Sambadani,inside,Con.,NO,Malaise,1,0,0,3,7,0,2,8,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,21,0,,2,1,,,ND,ND,ND,,,,,,,ND,ND,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,5,,28,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,17-21,Madina,inside,Con.,NO,Malaise,2,0,1,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,4,0,,2,2,,,2,1,1,,,,,,,ND,ND,,,,,,
16,4,17-21,Nianguanabougou,inside,Con.,NO,Malaise,0,0,1,0,3,2,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,7,0,,2,1,,,2,ND,ND,,,,,,,ND,ND,,,,,,
16,4,19-23,Tiko,inside,Con.,NO,Malaise,0,0,0,0,0,0,0,1,0,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,2,2,,,0,ND,ND,,,,,,,ND,ND,,,,,,
16,4,18-22,Kignele,inside,Con.,NO,Malaise,0,0,2,0,0,1,8,1,0,0,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,12,1,,2,0,,,4,1,3,,,,,,,ND,ND,,,,,,
16,4,18-22,Trekrouba,inside,Con.,NO,Malaise,1,3,1,0,5,1,3,0,9,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,24,0,,2,1,,,4,1,3,,,,,,,ND,ND,,,,,,
16,4,20-24,Balandougou,inside,Con.,NO,Malaise,0,0,1,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,0,ND,ND,,,,,,,ND,ND,,,,,,
16,4,24-28,Krekrelo,inside,Con.,NO,Malaise,0,0,0,0,0,0,1,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,0,ND,ND,,,,,,,ND,ND,,,,,,
16,4,24-28,Korea,inside,Con.,NO,Malaise,0,0,0,1,0,0,2,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,2,2,,,0,ND,ND,,,,,,,ND,ND,,,,,,
16,4,26-30,Farabale,inside,Con.,NO,Malaise,0,0,1,0,0,1,0,0,1,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,4,0,,2,2,,,2,1,1,,,,,,,ND,ND,,,,,,
16,4,26-30,Cissebougou,inside,Con.,NO,Malaise,0,0,3,0,0,0,1,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,2,2,,,2,ND,ND,,,,,,,ND,ND,,,,,,
16,4,22-26,Trekrou,inside,Con.,NO,Malaise,1,0,0,3,0,0,1,0,0,4,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,0,,2,1,,,5,1,4,,,,,,,ND,ND,,,,,,
