year,Month,Date,Vilage,location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,Malaise suplementary catch male,Malaise suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,
16,3,15-19,Madina,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,15-19,Nianguanabougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,17-21,Tiko,periphery,Con.,NO,Malaise,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,17-21,Kignele,periphery,Con.,NO,Malaise,0,1,0,0,1,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,19-23,Trekrouba,periphery,Con.,NO,Malaise,0,0,0,1,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,2,2,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,19-23,Balandougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,20-24,Krekrelo,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,20-24,Korea,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,22--26,Farabale,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,,,
16,3,22-26,Cissebougou,periphery,Con.,NO,Malaise,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,ND,ND,,,,
