year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,PSC suplementary catch male,PSC suplementary catch female,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,Sample ELISA,ELISA positive,,Remarcs
2016,3,6,Madina,inside,Con.,NO,PSC,2,1,0,0,5,0,2,0,3,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,14,0,,,,,,,,,,,,,
2016,3,6,Nianguanabougou,inside,Con.,NO,PSC,0,3,5,0,1,0,4,1,8,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,,24,0,,,,,,,,,,,,,
2016,3,7,Tiko,inside,Con.,NO,PSC,1,0,0,3,0,5,2,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,11,0,,,,,,,,,,,,,
2016,3,7,Kignele,inside,Con.,NO,PSC,7,0,2,1,1,0,8,7,2,2,,,,3,0,1,0,0,2,0,0,0,0,,,,,,30,6,,,,,,,,,,,,,
2016,3,8,Trekrouba,inside,Con.,NO,PSC,1,0,3,0,0,0,2,0,1,0,,,,0,1,0,0,0,0,0,0,0,0,,,,,,7,1,,,,,,,,,,,,,
2016,3,9,Balandougou,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,3,10,Krekrelo,inside,Con.,NO,PSC,1,4,0,0,2,0,1,1,0,7,,,,0,0,0,0,0,0,0,0,0,0,,,,,,16,0,,,,,,,,,,,,,
2016,3,10,Korea,inside,Con.,NO,PSC,0,2,2,0,3,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,8,0,,,,,,,,,,,,,
2016,3,11,Farabale,inside,Con.,NO,PSC,0,1,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,2,0,,,,,,,,,,,,,
2016,3,12,Cissebougou,inside,Con.,NO,PSC,1,0,0,1,1,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,4,0,,,,,,,,,,,,,
2016,3,12,Trekrou,inside,Con.,NO,PSC,0,2,3,5,9,0,3,1,0,0,,,,1,0,0,0,0,1,0,0,0,1,,,,,,23,3,,,,,,,,,,,,,
2016,3,13,Sirakele,inside,Con.,NO,PSC,1,0,3,0,2,0,0,0,1,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,8,0,,,,,,,,,,,,,
2016,3,13,Balala,inside,Con.,NO,PSC,0,2,0,0,5,1,1,0,3,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,12,0,,,,,,,,,,,,,
2016,3,14,Sambadani,inside,Con.,NO,PSC,0,1,3,0,0,0,0,5,0,0,,,,0,0,0,0,0,0,0,0,0,1,,,,,,9,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,11,,,,,,,,,,,,,
