Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,20h-22h,,1,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,20h-22h,,2,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,3,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,4,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,5,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,6,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,7,P,Unfed,Negatif,M
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,8,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,9,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,10,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,11,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,12,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,13,NR,Fed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,14,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,15,P,Unfed,Negatif,M
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,00h-02h,,16,P,Unfed,Negatif,ND
Balala,October,2016,18-Oct-2016,GA,HLC,1,,Outside,02h-04h,,17,P,Unfed,Negatif,ND
