Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb13,1,1-Mar-21,13,2,5097100,5153516,0,0,---,0,1,0,1,1,
asb13,1,1-Mar-21,13,2,5113783,5153555,0,0,---,0,1,0,1,1,
asb13,1,1-Mar-21,13,2,5113802,5153477,0,0,---,0,1,0,1,1,
asb13,1,1-Mar-21,13,2,5113878,5153568,0,0,---,0,1,0,1,1,
asb13,1,1-Mar-21,13,2,5113878,5153572,0,1,---,0,1,0,1,1,
asb13,1,1-Mar-21,13,2,5113884,5151895,0,0,---,0,1,0,1,1,
asb33,1,1-Mar-21,33,3,5107825,5153716,0,0,---,0,1,0,1,1,
asb33,1,1-Mar-21,33,3,5107826,5151664,0,0,---,0,1,0,1,1,
asb45,1,1-Mar-21,45,2,5077414,5154964,0,0,---,0,1,0,1,1,
asb77,1,1-Mar-21,77,2,5097713,5153945,0,0,---,0,1,0,1,1,
asb84,1,1-Mar-21,84,3,5096424,5153837,0,0,---,0,1,0,1,1,
asb84,1,1-Mar-21,84,3,5096476,5153771,0,0,---,0,1,0,1,1,
asb151,1,1-Mar-21,151,3,5078970,5154346,0,0,---,0,1,0,1,1,
asb151,1,1-Mar-21,151,3,5078970,5154349,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5097296,5153165,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5150998,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5150999,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151004,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151005,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151006,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151007,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151009,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151011,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151013,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151018,0,0,---,0,1,0,1,1,
asb194,1,1-Mar-21,194,3,5106131,5151019,1,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113794,5154293,0,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113796,5154263,1,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113806,5154285,0,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113809,5154286,0,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113809,5154287,0,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113809,5154288,0,0,---,0,1,0,1,1,
asb13,1,2-Mar-21,13,2,5113809,5154289,0,0,---,0,1,0,1,1,
